name,sum,chgk_sum,chgk_1.0,chgk_2.0,chgk_3.0,brain_sum,brain_1,brain_2,brain_3,ek_sum,ek_1,ek_2,ek_3,si_sum,si_1,si_2,si_3
Новиков Илья Сергеевич,11,5,5,0,0,4,4,0,0,0,0,0,0,2,1,1,0
Сибаев Ринат Ильдарович,9,3,2,1,0,4,1,3,0,2,0,2,0,0,0,0,0
Галиакберов Денис Андреевич,9,3,2,1,0,2,0,2,0,2,0,1,1,2,1,1,0
Карчевский Александр Сергеевич,8,5,1,4,0,1,0,1,0,2,1,0,1,0,0,0,0
Немучинский Роман Борисович,8,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0
Имангулов Амаль Бахтиёрович,8,3,2,1,0,3,1,2,0,2,0,2,0,0,0,0,0
Тух Вадим Евгеньевич,8,3,1,1,1,2,1,0,1,1,0,1,0,2,2,0,0
Печеный Александр Павлович,7,5,4,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Новосёлов Михаил Андреевич,7,4,3,0,1,2,1,1,0,1,0,1,0,0,0,0,0
Ерофеев Алексей Леонидович,7,4,0,1,3,3,1,2,0,0,0,0,0,0,0,0,0
Николаев Глеб Владиславович,7,3,2,1,0,2,0,2,0,2,0,1,1,0,0,0,0
Борок Дмитрий Владимирович,7,3,2,0,1,3,2,1,0,0,0,0,0,1,0,1,0
Поверинов Никита Олегович,7,2,2,0,0,3,1,2,0,2,0,2,0,0,0,0,0
Харитонов Владислав Александрович,7,2,2,0,0,3,1,2,0,2,0,2,0,0,0,0,0
Малкин Михаил Леонидович,6,5,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0
Марков Александр Валерьевич,6,4,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Островский Андрей Вячеславович,6,4,3,1,0,2,1,1,0,0,0,0,0,0,0,0,0
Штых Алексей Константинович,6,4,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Васильева Арина Евгеньевна,6,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Бочкарёв Антон Алексеевич,6,3,2,0,1,1,1,0,0,0,0,0,0,2,1,0,1
Федкевич Даниил Кириллович,6,3,1,2,0,1,0,1,0,2,1,0,1,0,0,0,0
Подрядчикова Мария Владимировна,6,2,1,0,1,2,1,0,1,2,1,1,0,0,0,0,0
Мужикбаев Леонид Андреевич,6,1,0,0,1,1,0,1,0,2,1,1,0,2,1,1,0
Тарасов Владислав Михайлович,6,0,0,0,0,2,0,0,2,2,2,0,0,2,0,2,0
Баранчикова Мария Валентиновна,5,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Бер Илья Леонидович,5,3,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Папаянов Григорий Сергеевич,5,3,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Короткова Елизавета Алексеевна,5,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Чадромцев Богдан Денисович,5,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Папков Михаил Константинович,5,3,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
Белозёров Борис Сергеевич,5,3,0,3,0,0,0,0,0,1,1,0,0,1,1,0,0
Гилёв Алексей Владимирович,5,2,1,1,0,1,0,0,1,0,0,0,0,2,1,1,0
Мереминский Станислав Григорьевич,5,2,0,2,0,2,0,2,0,0,0,0,0,1,1,0,0
Дегтярёв Максим Игоревич,5,1,1,0,0,1,0,0,1,1,0,0,1,2,0,0,2
Мишкин Алексей Евгеньевич,5,1,0,0,1,4,2,1,1,0,0,0,0,0,0,0,0
Неустроева Анна Владимировна,5,1,0,0,1,2,0,2,0,2,1,1,0,0,0,0,0
Сапрыкин Никита Сергеевич,5,1,0,0,1,1,0,1,0,2,1,1,0,1,0,0,1
Андрющенко Екатерина Сергеевна,4,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Айзятулова Иделия Мукадясовна,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Лобанов Александр Михайлович,4,2,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0
Семушин Иван Николаевич,4,2,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0
Кадыров Ленар Равилевич,4,2,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Шередега Алексей Владимирович,4,2,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0
Ичигеева Джияна Очировна,4,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Самусенко Екатерина Олеговна,4,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
Боков Тимофей Александрович,4,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0
Николенко Сергей Игоревич,4,2,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0
Уварова Юлия Каримовна,4,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
Ожигов Дмитрий Сергеевич,4,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0
Кафиатуллин Тимур Рустемович,4,2,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1
Зильберман Дмитрий Яковлевич,4,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Камильянов Айдар Вилсорович,4,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Мубаракшин Фархад Рашидович,4,2,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0
Мамонтов Егор Иванович,4,2,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0
Талюк Александр Станиславович,4,1,1,0,0,2,1,1,0,1,0,1,0,0,0,0,0
Феоктистов Максим Владимирович,4,1,0,1,0,2,1,1,0,0,0,0,0,1,0,0,1
Полутина Наталья Сергеевна,4,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0
Дзекановский Виктор Халедович,4,1,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0
Назаров Пётр Юрьевич,4,1,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0
Ламеко Арсений Дмитриевич,4,1,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0
Далецкая Арина Андреевна,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Малышев Арсений Александрович,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Гомон Матвей Александрович,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Савочкин Артём Сергеевич,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Пивторак Никита Александрович,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Горя Артемий Юрьевич,4,1,0,0,1,1,0,0,1,2,0,2,0,0,0,0,0
Шлыков Николай Александрович,3,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Калинин Антон Витальевич,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Чернышёв Кирилл Александрович,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Сорожкин Артём Сергеевич,3,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Пинчук Антон Алексеевич,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Карташов Кирилл Михайлович,3,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Романов Алексей Владимирович,3,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Паксютов Георгий Давидович,3,2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Миронов Денис Эдуардович,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Свешникова Екатерина Владиславовна,3,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Шагал Ксения Андреевна,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Трощило Мария Андреевна,3,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0
Иоков Антон Сергеевич,3,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0
Биткин Игорь Владимирович,3,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
Железнов Кирилл Олегович,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Фарукшин Наиль Евгеньевич,3,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Ермишкин Александр Константинович,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Рекшинская Анастасия Ярославна,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Фролов Иван Александрович,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Воробьёв Никита Игоревич,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Филиппов Дмитрий Станиславович,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Генералова Елизавета Антоновна,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Аксёненко Юлия Сергеевна,3,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0
Матюшин Георгий Сергеевич,3,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
Юшкевич Антон Дмитриевич,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Сапегин Александр Андреевич,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Хмельков Алексей Дмитриевич,3,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
Кузьменко Юрий Владимирович,3,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0
Лашин Денис Владимирович,3,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0
Казакевич Виктория Григорьевна,3,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0
Мусихин Никита Владимирович,3,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0
Райко Михаил Петрович,3,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0
Мишин Денис Андреевич,3,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0
Хмыров Дмитрий Евгеньевич,3,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0
Кулешов Игорь Вячеславович,3,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0
Новолокин Алексей Павлович,3,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Федосов Георгий Алексеевич,3,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Царёв Михаил Сергеевич,3,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
Косоногов Дмитрий Александрович,3,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0
Балабан Александра Владимировна,3,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0
Свирина Анна Александровна,3,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0
Потёмкин Андрей Андреевич,3,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1
Очиров Очир Олегович,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Чирятьева Александра Евгеньевна,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Сесина Дарья Алексеевна,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Утикеев Станислав Максимилианович,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Сергеев Владимир Васильевич,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Матяшин Илья Михайлович,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Русских Глеб Владиславович,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Макушев Дмитрий Михайлович,3,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
Зепнов Иван Евгеньевич,3,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
Пахнин Михаил Александрович,3,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
Коваль Евгений Владимирович,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
Макаров Сергей Александрович,3,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
Мальчёнков Станислав Александрович,3,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1
Давидюк Татьяна Игоревна,3,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0
Снигирёва Юлия Владимировна,3,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0
Артёмов Евгений Олегович,3,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0
Скиренко Андрей Сергеевич,3,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1
Ганчуков Илья Георгиевич,3,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,1
Закс Юлия Иосифовна,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Белов Вячеслав Евгеньевич,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Гордин Артём Алексеевич,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Панайотти Дмитрий Алексеевич,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Рожнёва Ирина Сергеевна,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Филиппов Юрий Станиславович,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Лобачёв Сергей Сергеевич,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Мосягин Александр Владимирович,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Вахранёва Елизавета Сергеевна,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Стебалина Анастасия Сергеевна,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Кебец Павел Леонидович,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Новокщёнов Кирилл Алексеевич,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Володин Павел Владимирович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Иванова Елизавета Андреевна,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Лукин Александр Михайлович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Мильчин Константин Аркадьевич,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Морозов Михаил Иванович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Сидоров Максим Владимирович,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Философов Игорь Юрьевич,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Трутнев Олег Сергеевич,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Фаттахов Булат Радифович,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Тимофеева Анастасия Витальевна,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Романенко Глеб Александрович,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Шамонин Фёдор Алексеевич,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Шиншинова Ольга Дмитриевна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Сапожников Артём Алексеевич,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Сновский Александр Юрьевич,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Наследскова Полина Леонидовна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Денисенков Никита Викторович,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Аристова Мария Васильевна,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Агаханова Ольга Назаровна,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Шевела Никита Игоревич,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Болотова Елизавета Геннадьевна,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Камаев Александр Анатольевич,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Ерофеева Ирина Юрьевна,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Седов Игорь Алексеевич,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Баркин Сергей Михайлович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Баркина Юлия Александровна,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Батаев Сергей Викторович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Долотов Олег Леонидович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Ермишев Виталий Александрович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Куфтинов Евгений Семёнович,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Филаткин Михаил Николаевич,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Новикова Екатерина Сергеевна,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Бранский Леонид Яковлевич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Спешкова Елена Николаевна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Зборовская Марьяна Михайловна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Новокрещенова Ольга Ростиславна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Каплун Дмитрий Ильич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Кибкало Мария Александровна,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Лоскутов Сергей Михайлович,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Слащёв Артём Валерьевич,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Серобян Эдгар Робертович,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Николаева Ксения Сергеевна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Лубенникова Анастасия Витальевна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Абдрашитова Ирина Владимировна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Гиршевич Сергей Михайлович,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Забродина Дарья Владимировна,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Багдуев Андрей Александрович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Иванов Артур Арианович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Кузнецов Даниил Геннадьевич,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Ерошкин Вадим Михайлович,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Грушина Александра Игоревна,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Кунашко Виталий Валерьевич,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
Дидбаридзе Юлия Амираниевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Павлов Владимир Евгеньевич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Фёдорова Татьяна Евгеньевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Щукина Софья Вячеславовна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Редькин Илья Евгеньевич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Ватаманюк Ирина Валерьевна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Берендяев Денис Александрович,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Янкевич Ричард Игоревич,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Никифоров Артём Павлович,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Аишева Динара Армановна,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Даутов Ренат Ильдарович,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Марьяхина Татьяна Фридриховна,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Мереминская Екатерина Олеговна,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Мингазов Амир Мубаракзянович,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Керпель Вера ,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Егоров Всеволод Львович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Кудинов Антон ,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Никольский Александр Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Петухов Андрей Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Пынёнкова Ольга Николаевна,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Ревзин Леонид Маркович,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Смирнов Вячеслав Юрьевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Смурова Мария Валерьевна,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Срибный Александр Евгеньевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Хвастунов Николай Николаевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Шалгунов Владимир Сергеевич,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Машков Олег ,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Стариков Иван Юрьевич,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Дудоров Евгений Александрович,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Мозеров Илья Сергеевич,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
Стрельникова Светлана Алексеевна,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Суманеев Иван Андреевич,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
Турчанинов Дмитрий Петрович,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
Артюхин Ярослав Николаевич,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Топханов Алексей Владимирович,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Баранова Елизавета Сергеевна,2,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
Корчёмкина Мария Артуровна,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Зырянов Григорий Александрович,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
